item,Rating,about,best,image,package
Borobudur,4.7,"The Borobudur Temple complex is the largest Buddhist temple in the world and is a UNESCO World Heritage Site. One of the most visited attractions in Indonesia, it was built in the 8th-Century. A marvel of Buddhist architecture, with multiple platforms stacked on each other, the temple is capped...",April to October,https://i0.wp.com/www.travelmarbles.com/wp-content/uploads/2018/06/borobudur-7.jpg,2335
Jakarta,4.5,"Indonesia's capital city, Jakarta is also the nation's cultural, economic and political centre. Amble leisurely through Kota Baru, or Jakarta's Old Town, where colonial Dutch architecture remains preserved as they stood during the times before Indonesia's independence. Take in the heady si...",July to October,https://www.executivecentre.com/wp-content/uploads/2018/11/2018_11_8_Blog-header.jpg,4344
Lombok,4,"Lombok is an island in the Indian Ocean which is part of the Lesser Sunda Islands. Promoted as ""an unspoiled Bali"", Lombok is what people expected Bali to be before it became crowded and a mainstream travel destination. The island is in itself getting some attention in recent times for its beaches a...",Dry season (May to Septembert),https://tallypress.com/wp-content/uploads/2016/07/places-to-go-at-lombok.jpg,3234
Ubud,3.8,"Known to be the spiritual centre of Bali, Ubud's humble and understated nature is the anti-thesis to the loud, brash, hard-partying lifestyle that has come to define Kuta and Seminyak. Brought to the masses in the Julia Roberts film 'Eat, Pray, Love', Ubud is a quaint town of artists and is regarded...",April to June and September,https://th.bing.com/th/id/OIP.Ue0pWUo5BSiQJWkg6_RejQHaFj?pid=ImgDet&rs=1,2425
Semarang,3.8,"A melting pot of cultures, Semarang is located on the northern coast of Java and is the main port of the Central Java province. Semarang's rich cultural diversity and religious plurality is a result of the many times the city has been annexed by foreign powers and it has been occupied numerous ...",July to October,https://3.bp.blogspot.com/-j7KySallky0/TrH4t9IRF1I/AAAAAAAAC74/aXUubQ9SWtM/s1600/lawang+sewu+-+harian+semarang.jpg,2442
Medan,3.8,"The fourth-largest city in Indonesia, Medan is one of the most diverse areas in the country. With sprawling lawns, old government buildings, the heavy traffic and glistening new malls, Medan also offers an interesting contrast between old and new. Each ethnic group contributes to Medan's wide variet...",May to September,https://www.asiamedan.com/wp-content/uploads/2018/12/Maria-Annai-Church.jpeg,5434
Dieng Plateau,2.8,"The volcanic complex in Central Java, known as the Dieng plateau, which comes from Di Hyang that literally translates to “Abode of the Gods”.  This scenic delight and is littered with beautiful Hindu and Javanese temples, including eight small temples that are said to be from the Kalinga Kingdo...",May to October,https://th.bing.com/th/id/R.2fe08fffa00837434c225992e45c872c?rik=ZsTlVA%2bKymek8Q&riu=http%3a%2f%2f2.bp.blogspot.com%2f-k_zRpmuyVHs%2fU2m_vFFegsI%2fAAAAAAAAB5U%2fupptJKmCNC4%2fs1600%2fDieng%2bPlateau%2bView.JPG&ehk=yfDo5N0g9DsBw4o3X1eUHe6lJW2bc1Xr6G%2b9AX1g%2fiw%3d&risl=&pid=ImgRaw&r=0,2143
Surabaya,4.2,"Known fondly as 'The City of Heroes' for the pivotal role that the city played in the Indonesian freedom struggle, Surabaya is one of Indonesia's most enigmatic cities. The country's second-largest urban settlement, Surabaya today reflects the influences of its many occupants. Arab Quarter, with its...",May to September.,https://th.bing.com/th/id/OIP.sqLGGXRaHV8Bfs4uJ0263AHaE8?pid=ImgDet&w=585&h=390&rs=1,2425
Batam,3.9,"Located just off the eastern coast of Sumatra, nuzzled up against the Singaporean coast, Batam is one of the most picturesque islands in the Riau Archipelago, and also one of the most modernised areas in Indonesia. Its proximity to Singapore also makes it one of the most visited weekend getaway dest...",May to September.,https://www.duckferries.com/media/n0qblour/explore-batam-bridge.jpg,2345
Bandung,4,"A city of contrasts, Bandung is one of Indonesia's most significant and most rapidly developing cities. located at a distance of 150 kms from Jakarta. Characterized by rippling rice fields, volcanic mountains, and a distinctly European feel, Bandung was dubbed the ""Paris of Java""...",June to September,https://cdn.christravelblog.com/wp-content/uploads/2020/02/isola-villa-indonesia-bandung-city-tour-must-see-colonial-places-IMG_0580.jpg,3996
Makassar,3.5,"A bustling port, Makassar is the largest city in East Indonesia. Its cosmopolitan nature and urban attractions make it a must-visit city in Indonesia. It is relatively more modern, as a city, but also has traces of Dutch architecture in a few places, with Fort Rotterdam standing as one of the remain...",June to September,https://th.bing.com/th/id/R.1135f1950e710ac3c58c3bf9a3288781?rik=fZFKNllANhYPTg&riu=http%3a%2f%2f3.bp.blogspot.com%2f-iOTTkg8EIGo%2fTtEFGyXKuJI%2fAAAAAAAAAYQ%2fdtVsjLAKBlM%2fw1200-h630-p-k-no-nu%2fMAKASSAR%2bTHE%2bGLOBALLY%2bTOWN.jpg&ehk=VtU3NDpfoCcYr%2fzkMgpU7VzxafM%2fpbcx4MBIwN29wRY%3d&risl=&pid=ImgRaw&r=0,2345
Banten,4.3,"Situated on the westernmost tip of Java, Banten is a highly diverse province characterised by many ethnic groups and languages and is a melting pot of Indonesian culture. A hotspot for Sundanese culture and Bantanese cuisine, and a smorgasbord of other traditions, Banten is easily accessible fr...",April to October,https://i2-prod.dailypost.co.uk/incoming/article7357979.ece/ALTERNATES/s1227b/Banteng-8.jpg,3446
Nusa Lembongan,4.5,The Nusa Islands are a group of islands that lie off the southeast coast of Bali. Nusa Lembongan is the largest and most famous of the Nusa Islands and is a hot-bed for watersports because of its crystal clear waters and teeming marine life. Nusa Lembongan is also a haven for surfers and the waves o...,May to September,https://www.jetsetchristina.com/wp-content/uploads/2017/02/JetsetChristinaNusaPenidaTravelBlogger2-copy.jpg,3435
Padar Island,3.5,"Padar Island is the third largest island in Komodo National Park, located in between its two sibling islands- Komodo Island and Rinca island. Padar is surrounded by beautiful rugged hills that offer a splendid panoramic view. It is a perfect place for hikers that love a challenge. The...",April to June and September,https://www.holidify.com/images/bgImages/PADAR-ISLAND.jpg,2452
Manado,3.8,"The capital city of North Sulawesi in Indonesia, Manado is the second-largest city in the region best known for being home to the Ban Hin Kiong temple, which assumes great importance during the Chinese New Year celebrations, and for its stunning marine biodiversity. Being one of the lesser-known but...",July to October,https://www.manadosafaris.com/wp/wp-content/uploads/2016/01/PICT0416-1.jpg,3452
Depok,3.5,"A city in the West Java province, Depok is located to the south of Jakarta, between Jakarta-Bogor. The city’s name is actually an acronym for De Eerste Protestantse Organisatie van Christenen. Other versions say that the city gets its name from Sundanese, in which “Depok” means hermitage or abode of...",May and September,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/ef/3e/2e/dsc-0045-largejpg.jpg?w=1000&h=-1&s=1,4532
Bandar Lampung,3.2,"Bandar Lampung is the capital and the largest city of the Indonesian province of Lampung, located on the southern tip of Sumatra Island. This sprawling Sumatran city of more than a million residents used to be a popular stopover point for backpackers before air-travel became as affordable as it...",July to September,"https://res.cloudinary.com/sekitarlampung/image/upload/f_auto,q_auto/v1553458104/Utama/Gerbang_Kota_Bandar_Lampung",2453
Kintamani,4,"Overlooking the majestic Mount Batur and the encompassing Lake Batur, Kintamani is a village located in the north-east region of Bali. Offering dramatic views of the rugged landscape of smouldering active volcanoes and temples littered across the highlands, Kintamani is one of Bali's more off-beat d...",May to September,https://cdn2.gttwl.net/attachments/tcasia.ca/1537551964.5748532.jpg,3543
Padang,3.5,"Padang, an offbeat tourist destination is the provincial capital of West Sumatra and a prominent gateway to the home of the native tribe, Minangkabau tribe. A busy harbour, popular for its products such as rubber, cinnamon, coffee, tea and nutmeg, Padang is a perfect countryside where you can relax ...",December to February,https://th.bing.com/th/id/R.49fb3b66b18d30026284c358518f5363?rik=QR%2bD5scPfkUu5Q&riu=http%3a%2f%2findonesia-tourism.com%2fwest-sumatra%2fpadang%2fimages%2fpadang_city.jpg&ehk=mMUN3dTzaH1Lc4N%2bUtLujBhs9G18gNP4Pj5WSk3RePw%3d&risl=&pid=ImgRaw&r=0,3452
Palembang,3.3,"Along with being one of the oldest cities in Asia, the city, also known as Kota Pempek, the city is also nicknamed Kota Pempek. Palembang does have a strong cultural and historical significance which draws the offbeat travellers or backpackers. It was once called the Venice of East but the charm has...",June to September,https://th.bing.com/th/id/OIP.aZ5EX01qHWFiI6tNYvH3WgHaE9?pid=ImgDet&rs=1,3543
Gili Gede,3.1,"Gili Gede lies to the southwest coast of Lombok and is small, rugged, and  and isolated from the other parts of Indonesia. While Gili Gede's name translates loosely to 'Large Island', measuring 4 km by 1.6 km at its widest point, Gili Gede packs a substantial punch for its relatively small size...",May to September,https://www.islander.io/wp-content/uploads/wpallimport/files/places/output1150w/Gili%20Gede.jpg,2343
Komodo National Park,4,"Komodo National park of Indonesia is a protected wildlife and marine life area of a group of islands scattered between the islands of Sumbawa and Flores. The endangered species of Komodo Dragons are found here and nowhere else in the world. Apart from the giant lizards, the islands are home to a div...",March to December,https://th.bing.com/th/id/R.56279add6f44129426de18b2cbe192d7?rik=EnQn%2fUjKRDIr3w&riu=http%3a%2f%2f4.bp.blogspot.com%2f--JLpTT1l_RQ%2fUFn1-xIANaI%2fAAAAAAAABmc%2fCdd0nnzbvPA%2fs1600%2fKomodo%2bNational%2bPark%2c%2bIndonesia2.jpg&ehk=KZYpwCOWBLNGrXmb7%2f8k5zI0OIc%2bNhX1KFkK%2bS3X7Us%3d&risl=&pid=ImgRaw&r=0,2342
Rinca Island,3,"The only natural habitat of the gigantic Komodo Dragons, Rinca Island is located in the eastern Lesser Sunda Islands of Indonesia. It is one of the three major islands of the Komodo National Park along with Komodo island and Padar island and holds the UNESCO World Heritage status since 1991. It is o...",April to November,https://authentic-indonesia.com/wp-content/uploads/2019/09/favorite-rinca-island-tourist-destination.jpg,2352
Cirebon,3.5,"Cirebon city is located in the West Java Province, by the northern coast in Indonesia. The city is also fondly called City of Shrimps (Kota Udang). It shares the Central Java Provincial border with Jakarta and lies approximately 297 kilometres away from the city. Since Cirebon occupies only 37 squar...",June to October,https://th.bing.com/th/id/OIP.CC7G7k_Rl4BEN-HGrnKBxAHaE7?pid=ImgDet&rs=1,3342
Bogor,3.9,"The city is also known as a center of art and culture bubbling with many intriguing and historical sights spanning from museums, theaters, cemeteries, churches, the Bogor Palace and other historical sites dating back to the Dutch colonial era. The history of Bogor dates back to the 7th Century when ...",May to October,https://th.bing.com/th/id/R.70935a47e88978cb78dd7135101c0eac?rik=ALeRKeCa3CDmkw&riu=http%3a%2f%2f4.bp.blogspot.com%2f-Jqvo2Z4g5Kk%2fTdoTFgeimOI%2fAAAAAAAAAQ4%2fJZKqxN2KBU0%2fs1600%2fistana%2bbogor.jpg&ehk=E5Gw0AXjkwnUoDp7zl49sAGwVtJXmubvvVgco9nD32Y%3d&risl=&pid=ImgRaw&r=0,2245
Flores,4.3,"Flores is a beautiful and awe-inspiring island which had been overshadowed for a long period under its famous neighbour- Bali. Today, Flores Island is slowly emerging as a unique destination of its own. Flores is a beautiful place to take a swim in the pristine lakes, and waterfalls, or even dive in...",April to October,https://i0.wp.com/www.worldwanderista.com/wp-content/uploads/2015/09/Coastline-Flores-Azores.jpeg,6666
Banyuwangi,4.2,"Banyuwangi is one of the most underrated yet beautiful places in Indonesia which is soon blossoming into an amazing destination to explore especially on your way to the famous island of Bali. Being the easternmost cities in Java, Banyuwangi is the first place to receive the shining rays of the sun b...",June to September,https://th.bing.com/th/id/OIP.3_4NDPNaJAaXUHq9G3ZrAgHaE8?pid=ImgDet&rs=1,3563
Bintan,4,"Bintan Island, which is also known as Negeri Segantang Lada, is an island situated in the Riau Archipelago, Indonesia. Bintan Island also holds some of the important historical sites and tourists prefer visiting them during their stay at the island. You might not find sprawling shopping malls on thi...",April to October,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/83/04/0d/caption.jpg?w=500&h=300&s=1,4533
Sumba,3.7,"Sumba is a beautiful and untouched island which is situated to the East of the country; however, it amazingly distinguishes itself from the Northern volcanic part of Indonesia. The visitors that do make it to Sumba are usually surfers as Sumba has an amazing surf scene that remains under the radar. ...",June to August,"https://media.cntraveler.com/photos/587fbe572652c219334f90e0/master/w_1200,c_limit/View-Nihiwatu-Indonesia-CRHotel.jpg",4463
Belitung,4.1,"Belitung is a beautiful island off the eastern coast of Indonesia which is an untouched beauty with its white-sand beaches, clear waters, and blue skies to make for an amazing getaway from the hustle of the city life. As soon as one sets foot on the island make a quick trip to the exotic beaches whi...",February to March,https://storage.googleapis.com/allindonesiatoursim/2017/02/belitung.jpg,3653
Surakarta,3.7,Surakarta is a beautiful town which is situated in Eastern Java. The city is beautiful with broad tree-lined streets and many historic buildings. Another highlight of Surakarta is that it is the birthplace of the current President of Indonesia- Joko Widodo who previously served as the Mayor of ...,May to September,https://img.jakpost.net/c/2018/06/13/2018_06_13_47624_1528885550._large.jpg,3455
Maluku Islands,4.7,Maluku islands or Moluccas is an Indonesian archipelago known for their palm beaches and volcanoes. The islands are located east of Sulawesi and west of New Guinea and north of Timor. The political entities encompassing the islands are Maluku and North Maluku.,November to March,https://images.charterindex.com/791279ad-0a8c-49ba-ab76-91f9f88b878e.jpg?auto=format&fit=max&w=2048,5743
Balikpapan,3.3,"Balikpapan ranks high among Indonesia’s popular tourist destinations. It is located on the Makassar strait in the Borneo island. Often called the ‘Gateway to Borneo’ or ‘Gateway to East Kalimantan’, it is a seaport city in Indonesia. Being home to several international mining and oil companies, it i...",August to september,https://i0.wp.com/kajomag.com/wp-content/uploads/2019/04/balikpapan-190894_1280-1.jpg?fit=1280%2C947&ssl=1,3423
Banda Islands,4.1,"The Molucca region of eastern Indonesia treasures the Banda Islands. Known for the fragrant spices like nutmeg and mace, this phenomenal destination is a paradise for those who fetish diving and snorkelling. It is one of the most sought after diving destinations in the world. With a view parallel to...",September to November,https://ourtraveltip.com/wp-content/uploads/2018/06/DSC_2325-1024x708.jpg,2342
Sumbawa,3.3,"Sumbawa is an untouched beauty in Indonesia which is yet to be explored by the travelers. The main attraction of the island is the beautiful white sand beaches, majestic waves, and amazing coral reefs. Here, one will find many travelers who are adventure junkies and on the lookout for crazy surfing ...",Throughout the year,https://2.bp.blogspot.com/-wvO9EZloFTQ/UaTwpkUVYqI/AAAAAAAADK0/--K2Sxxpu3w/s1600/Jelenga-5.jpg,3445
Plengkung Beach,NaN,"Known the world over as G-Land, Plengkung beach is revered by surfers for its incredible waves that regularly swell to over 7m. Plengkung Beach's surf is meant for experienced surfers looking for the next big wave that they're looking for and it is a common sight to see surfers and their boards skim...",july to September,https://th.bing.com/th/id/OIP.W6pPImX7JepJiwESf1xhkAHaEK?pid=ImgDet&rs=1,3453
