item,Rating,about,best,image,package
Lavasa,3.6,"Known as India's newest hill station, the Lavasa Corporation is constructing this private city. The city is a beautiful project, stylistically based on the Italian town Portofino. Spreading across 7 hills, covering an area of 25000 acres, Lavasa is a perfect blend of beauty and infrastructure.",Throughout the year,https://th.bing.com/th/id/OIP.-8rBHIvX9l9dZZLGobTa9gHaEK?w=330&h=186&c=7&r=0&o=5&pid=1.7,3234
Poovar,3.7,"Poovar is a small rustic town situated 27 kms from Thiruvananthapuram with unspoilt, unexplored golden sand beaches and beautiful backwaters of Kerala.",August to March,https://th.bing.com/th/id/OIP.wb6G_MYrCuBShtQ-Up0ucAHaDa?w=306&h=161&c=7&r=0&o=5&pid=1.7,2425
Honnemaradu,3.3,"Honnemaradu is a small cosy village, by the Honnemaradu Reservoir. The site is set in the middle of a valley and a weekend getaway to this place is nothing less than an adventure camp. The little village has very few people, and the only attraction is the water sports done at the Honnemaradu la...","October to December, March to Apr",https://th.bing.com/th/id/OIP.stwtonRqBA4-g_UJk9zwbwHaFr?w=251&h=193&c=7&r=0&o=5&pid=1.7,2442
Mysore,4,"Famously known as The City of Palaces, it wouldn’t be wrong to say that Mysore, currently Mysuru, is one of the most important places in the country regarding ancient reigns. It is replete with the history of its dazzling royal heritage, intricate architecture, its famed silk sarees, yoga, and ...",Throughout the year,https://www.travelandleisureindia.in/wp-content/uploads/2019/11/Mysore-Palace-feature.jpg,5434
Chandigarh,3.6,"Chandigarh, a union territory that is the capital of both Punjab as well as Haryana, is India's first planned city. A traditionally Punjabi city at heart with a healthy dose of modernity, Chandigarh's food and gedi culture (a leisure drive or ride the city) is what the capital is really known for.&n...",August to March,https://th.bing.com/th/id/OIP.YeXr-IdV6DO8QF2RyQWlEQHaE8?w=275&h=183&c=7&r=0&o=5&pid=1.7,2143
Visakhapatnam,3.6,"Visakhapatnam, also commonly known as Vizag, is one of the oldest port cities in the country. Situated in the heart of Andhra Pradesh, Visakhapatnam is known for its picturesque beaches and serene landscape, as well as a rich cultural past. The port of Visakhapatnam is renowned for being home to the...",September to March,https://th.bing.com/th/id/OIP.ittdqiiVr-O_eYx2sOuTcgHaE3?w=259&h=180&c=7&r=0&o=5&pid=1.7,2425
Lonavala,4,"Situated in the Sahyadri range of the Western Ghats close to Pune and Mumbai, Lonavala is the most visited hill station in Maharashtra and the place to be during monsoons. With lots of waterfalls, lakes and hills around, it is a popular destination for camping, trekking and other...",Throughout the year,https://imgcld.yatra.com/ytimages/image/upload/v1438948665/Lonavala_113.jpg,2345
Wayanad,4.3,"Replete with waterfalls, historical caves, comfortable resorts and homestays, Wayanad in Kerala is famous for its spice plantations and wildlife. Walking through the sprawling spice plantations, trekking to the pre-historic caves and experiencing a resort holiday are one of the many things you can d...",Throughout the year,https://th.bing.com/th/id/OIP.iELn6lv2WtpNe3k2h6IJegHaDm?w=325&h=170&c=7&r=0&o=5&pid=1.7,3996
Mount Abu,4.1,"The only hill station of Rajasthan, its cool atmosphere and lush green surroundings make it a major tourist spot within the state. The most important attraction, however, are undoubtedly the Dilwara temples, which is one of the most stunning piece of architecture in the country. If you are a history...",October to March,https://th.bing.com/th/id/OIP.4BUJByjTIMzCX9fa9alcrAHaDa?w=301&h=161&c=7&r=0&o=5&pid=1.7,2345
Hampi,4.6,"Hampi, the city of ruins, is a UNESCO World Heritage Site. Situated in the shadowed depth of hills and valleys in the state of Karnataka, this place is a historical delight for travellers. Surrounded by 500 ancient monuments, beautiful temples, bustling street markets, bastions, treasury building an...",October to March,https://th.bing.com/th/id/OIP.VBSal-gTOPuXrSHs5XRfKgHaFj?w=249&h=187&c=7&r=0&o=5&pid=1.7,3446
Gulmarg,4.1,"Situated at an altitude of 2730 m above sea level, Gulmarg is a popular skiing destination located in Pir Panjal Range of Union territory of Jammu and Kashmir. Surrounded by snow-covered lofty Himalayas, meadows of flowers, deep ravines, evergreen forested valleys, Gulmarg also has the world's secon...",October to June,https://th.bing.com/th/id/OIP.WLccMFjUr-jJvUjxCAKddwHaE8?w=282&h=188&c=7&r=0&o=5&pid=1.7,2428
Almora,3.6,"Cradled in the wilderness of Himalayan ranges, the sprawling town of Almora shaped like a horse-shoe is a hill station that boasts of a pre-British heritage and an adyllic vibe.",Throughout the year,https://th.bing.com/th/id/OIP.wrqhlhDDVQe4Zeo7DtQaNQHaD4?w=321&h=180&c=7&r=0&o=5&pid=1.7,2389
Shirdi,3.6,"The home of great saint Sai Baba, Shirdi is a religious site close to Nasik with various temples apart from the famous Sai Baba temple and a few historical sites.",July to March,https://th.bing.com/th/id/OIP.JvEyKPkU0iLXWjLk7dLYmwHaE8?w=282&h=188&c=7&r=0&o=5&pid=1.7,2456
Auli,4,"Dotted with the apple orchards, old oaks, and pine trees there is no dearth of natural beauty in Auli. Apart from skiing you can also go for numerous treks in the hills of Garhwal Himalayas and enjoy the spellbinding views of the snow-draped mountains. Auli is a popular hill resort in the Himalayan ...",Throughout the year,https://moxtain.s3.ap-south-1.amazonaws.com/blogs/Auli/auli-adventure.jpg,3278
Madurai,3.6,"Madurai, the cultural capital of Tamil Nadu, is one of the oldest continuously inhabited cities of India. Ruled by Pandya kings for the longest time in its history, it is called as the 'Lotus City' as it was planned and built in the shape of a lotus. Madurai is known for Meenakshi Amm...",October to March,https://th.bing.com/th/id/OIP.da1jeSkG7trE3UU9cLfTTwHaHa?w=174&h=180&c=7&r=0&o=5&pid=1.7,3478
Amarnath,3.5,"Amarnath, located in union territory of Jammu and Kashmir is one of the most important pilgrimage in India for the worshippers of Lord Shiva. The Amarnath cave has an enshrined Shivaling formed naturally with ice, which resembles Lord Shiva.",May to September,https://th.bing.com/th/id/OIP.OY7S8PFBND7mOzmDWZeGEgHaEj?w=270&h=180&c=7&r=0&o=5&pid=1.7,2137
Bodh Gaya,4,"Bodh Gaya is a Buddhist pilgrimage site in Gaya District of Bihar. Famous for the Mahabodhi Temple, It was here under the Bodhi tree that Gautama Buddha attained enlightenment.",October to March,https://th.bing.com/th/id/OIP.TQP8zjhl4LeB1ozzqTFslwHaE6?w=258&h=180&c=7&r=0&o=5&pid=1.7,3247
Ujjain,3.5,"Ujjain, considered to be one of the holiest cities of India, is an ancient city situated on the eastern bank of the Shipra River in the Malwa region of Madhya Pradesh. Ujjain is one of the four sites for the Kumbh Mela, the largest peace-time gathering on the planet that attracts 100 million people ...",October to March,https://www.visittnt.com/blog/wp-content/uploads/2017/11/Ujjain.jpg,3438
Pachmarhi,3.9,"Pachmarhi is the only hill station and is the highest point in Madhya Pradesh. Pachmarhi is also often known as ""Satpura ki Rani"" or the ""Queen of the Satpura Range"". Situated at an altitude of 1,067 metres, the picturesque town is a part of UNESCO Biosphere Reserve, home to leopards ...",Throughout the year,https://th.bing.com/th/id/OIP.AZZwOuRjuiDsYzkRD2rb1AHaE8?w=275&h=183&c=7&r=0&o=5&pid=1.7,3437
Mahabaleshwar,4,"Mahabaleshwar is a hill station located in the Western Ghats, in Satara district of Maharashtra. Apart from its strawberries, Mahabaleshwar is also well known for its numerous rivers, magnificent cascades and majestic peaks. It is among the most sought after weekend getaways from Mumbai.",October to June,https://th.bing.com/th/id/OIP.j4C0mlNHPEMPn8nv0nnZtwHaEe?w=309&h=187&c=7&r=0&o=5&pid=1.7,2317
Nashik,3.4,"Nasik is a religious Hindu city, host to the Kumbh Mela every 12 years. It also makes for a perfect wine tasting destination.",July to March,https://www.alightindia.com/CDN/Content/Images/PostImages/MEDIUM/Har%20ki%20Pauri-15853c.jpg,2328
Tirupati,4.4,"Situated in the Chittoor district of Andhra Pradesh, Tirupati is known for Lord Venkateshwara Temple, one of the most visited pilgrimage centres in the country. Tirumala is one of the seven hills in Tirupati, where the main temple is located. The temple is believed to be placed where Lord Venkateshw...",September to March,https://im.rediff.com/news/2019/jul/17tirumala-balaji.jpg?w=670&h=900,2323
Gwalior,3.4,"Gwalior is a historic city located in the state of Madhya Pradesh. Popular because of the hilltop fort, Gwalior is full of palaces and glorious temples giving this city a majestic charm which speaks volumes of its glorious past.",July to March,https://th.bing.com/th/id/OIP.EKLwNnV6o_UapnsxYtX9pwHaEe?w=314&h=190&c=7&r=0&o=5&pid=1.7,3298
Mathura,3.8,"One of Hinduism's seven sacred cities, Mathura is the birthplace of the very beloved Lord Krishna. Located in the state of Uttar Pradesh, Mathura and Vrindavan are often considered twin cities (located only 10km away from each other). Mathura is a small town dotted with temples from various ages and...",October to March,https://th.bing.com/th/id/OIP.fhvyOQAl0LITK2fsjcp4kAHaEc?w=313&h=187&c=7&r=0&o=5&pid=1.7,3497
Jog Falls,3.9,"The second-highest plunge waterfall in India, Jog Falls is a major tourist attraction in Karnataka and is the highest waterfall in the state. Second, to the Nohkalikai Falls of Meghalaya, Jog falls drops about a huge 253 m (850 ft. ) in a single fall. However, due to the construc...",July to December,https://th.bing.com/th/id/OIP.1BUoU1Arr-4ErN_ixQ0qMQHaE7?pid=ImgDet&rs=1,3423
Alibag,3.7,"A little coastal town tucked away in the Konkan region of Maharashtra, Alibag or Alibaug is a very popular weekend getaway and has earned itself the name of 'mini-Goa', owing to the high tourist footfall all year round. Steeped in colonial history, Alibaug is a quaint little town located about ...",November to March,https://th.bing.com/th/id/R.43ef28a939c6c88c92848ca5ee96b2b2?rik=7hinAAIFSbo2WQ&riu=http%3a%2f%2falibagtourism.com%2fwp-content%2fuploads%2f2018%2f11%2f2p.jpg&ehk=D0z7EPtSh0dDMpBaoS9ZiqCSovHy%2b1UZQ%2fX6H56b79s%3d&risl=&pid=ImgRaw&r=0,3246
Rameshwaram,3.3,"Rameshwaram is one of the holiest places in India and is located on a beautiful island. It is separated by a small Pamban channel from Sri Lanka. According to the Hindu mythology, this is the place where Lord Rama created a bridge across the sea to Sri Lanka.",Throughout the year,https://travelandtrekking.com/wp-content/uploads/2018/02/shutterstock_239025166-1.jpg,3428
Vrindavan,3.7,"One of the oldest cities on the banks of Yamuna, Vrindavan is considered to be one of the most important places of pilgrimage for the devotees of Krishna. It is said that Lord Krishna had spent his childhood in Vrindavan. The name of the city has been derived from Vrinda (meaning basil) and van (mea...",October to March,https://th.bing.com/th/id/OIP.Mc9vDWxNgqaczgrJRYFTpwHaE8?w=267&h=180&c=7&r=0&o=5&pid=1.7,1236
Coimbatore,3.4,"Often termed as 'Manchester of South India', Coimbatore, the second-largest city in Tamil Nadu, photographically situated on the banks of River Noyyal. Coimbatore, also known as Kovai, is a welcoming area with the backdrop of hustle-bustle and charm of activity and industry. From ancient temple...",September to March,https://images.unsplash.com/photo-1561006289-4fe1a09bf743?ixlib=rb-1.2.1&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=2000&fit=max&ixid=eyJhcHBfaWQiOjExNzczfQ,3425
Lucknow,3.7,"The capital and the largest city of Uttar Pradesh, Lucknow, situated on the banks of river Gomti, welcomes you with a heartwarming note of ""Muskuraiyein, kyunki aap Lucknow mein hai"". A city of kebabs and nawabs, of architecture and history, of literature and culture – that is Lucknow in a nuts...",October to March,https://www.travellingking.com/wp-content/uploads/2017/08/fort-2384320_1920-800x533.jpg,2352
Digha,3.9,"Beach town situated on the shores of Bay of Bengal, Digha is a popular tourist destination known for its untouched beaches and scenic views, especially among people in West Bengal.",July to March,https://www.brainwayholidays.com/innerpage/img/Beaches/Digha/banner3.jpg,2356
Dharamshala,3.5,"Dharamshala or Dharamsala city is located in Kangra district at a distance of 18 km from Kangra city. Dharamsala is separated as upper and lower divisions with different altitudes. The lower division is the Dharamsala town itself. whereas, the upper-division is located 3km away and popularly known a...",October to June,https://romanroams.com/wp-content/uploads/2018/11/Dharamshala-Hill-Station-1.jpg,2987
Kovalam,4.2,"Kovalam is an idyllic coastal town located around 13 km from Thiruvananthapuram in Kerala. Famous for its three adjacent crescent-shaped shallow water and low tidal beaches, Kovalam is dotted with resorts and ayurvedic massage centres.",September to March,"https://images.thrillophilia.com/image/upload/s--4_JHDEL9--/c_fill,f_auto,fl_strip_profile,h_600,q_auto,w_975/v1/images/photos/000/007/333/original/kovalam.jpg.jpg?1453305763",2497
Kaziranga National Park,3.4,"Home to the largest population of the one-horned rhino on earth, Kaziranga National Park is one of India’s national treasures in terms of flora and fauna. Located in the state of Assam in North-Eastern India, its total area is shared by the districts of Nagaon, Golaghat and Karbi Anglong placing it ...",October to June,https://img.onmanorama.com/content/dam/mm/en/travel/travel-news/images/2019/10/11/kaziranga-national-park.jpg,2976
Madikeri,4,"Generally covered as a part of trips to Coorg, Madikeri is a hill town in Karnataka with vast coffee plantations, lush forests and misty hills, all culminating into a breathtaking view. Located in Kodagu District around 6 hours from Bengaluru, Madikeri is a perfect weekend getaway. There is no ...",February to September,"https://www.holidify.com/images/cmsuploads/compressed/Abbi_falls,Madikeri,karnataka_20190116152834.jpg",2267
Matheran,4.3,"Nestled amidst the Sahyadri range on the Western Ghats, Matheran is a cosy little hill station that stands at an elevation of 2600 feet above sea level, and is just 100 kilometres away from Mumbai, making it the perfect weekend getaway. With its name literally translating to “overhead forest”, Mathe...",Throughout the year,https://s3.scoopwhoop.com/anj2/5d41491be2a04c11e1d4cd8b/163670b9-de20-411b-b5f9-64b1c675711f.jpg,2747
Ranthambore,4.2,"This is one of the best tiger reserves of the country, known to have ""friendly"" tigers and chances of sighting one here is reasonably better than many other tiger reserves of India. Along with this Ranthambore has one of the richest flora and fauna making it an absolutely must visit area",October to Apr,https://th.bing.com/th/id/OIP.O4iAZ8YSuUUvP_u1ghyUvwHaDn?w=319&h=171&c=7&r=0&o=5&pid=1.7,2974
Jim Corbett National Park,3.7,"Jim Corbett National Park is the oldest national park set amidst the foothills of the Himalayas in the Nainital district of Uttarakhand. Known for housing the endangered Bengal tiger, Corbett National Park is part of the larger Corbett Tiger Reserve.",Mid October to Mid June,https://devilonwheels.com/wp-content/uploads/2018/11/Tigers-Jim-Corbett-National-Park.jpg,2584
Kasol,4.2,"Kasol is a quaint little village in Himachal situated along the banks of the river Parvati. Commonly known as the 'Amsterdam of India', Kasol is a tourist attraction that is rapidly gaining fame as a popular hub for trekkers, backpackers, and nature lovers. Kasol is situated 23 kms from Bhuntar and ...",October to June,"https://res.klook.com/image/upload/fl_lossy.progressive,q_65/c_fill,w_1200,h_800/activities/rscmi9kkdipgpjgwlqse.jpg",3242
Agartala,3.6,"Home to the Manikya Kings in the past, Agartala is the perfect mix of natural beauty combined with diverse and rich culture.",Throughout the year,https://th.bing.com/th/id/OIP.qzaZO3RcFOZq2ThHa_rfjgHaDt?pid=ImgDet&rs=1,2989
Khandala,3.5,"Khandala is a popular hill station in Maharashtra, perched on the foothills of Sahyadri in the Western Ghats. Khandala provides for a perfect weekend respite for the Mumbai population, with its scenic valleys, grassy hills, serene lakes and misty waterfalls.",Throughout the year,https://th.bing.com/th/id/OIP.AA0Juc2ko9AbFGsVrPqh6QHaE8?pid=ImgDet&rs=1,2979
Kalimpong,3.7,"Kalimpong is a virgin hill station in West Bengal renowned for its panoramic valley views, Buddhists monasteries and churches and Tibetan handicrafts etc.","March to June, September to December",https://www.holidify.com/images/bgImages/KALIMPONG.jpg,2989
Thanjavur,3.9,"Also known as Tanjore or the city of temples, Thanjavur has a lot of cultural value and is known for its famous Tanjore paintings, antiques and handicrafts, textiles and saris , its Carnatic music and musical instruments and of course the temples.",October to March,https://th.bing.com/th/id/R.361690d8371986a3fda69863016fbeb6?rik=sf5lD0eymLpNtw&riu=http%3a%2f%2fwww.weekendthrill.com%2fwp-content%2fuploads%2f2016%2f07%2fThanjavur-compressed.jpg&ehk=6hj6ujcXLQUQtNHcPT1A8ZTkfl6vudTyldOh5mlE%2bBA%3d&risl=&pid=ImgRaw&r=0,2979
Bhubaneswar,3.4,"Bhubaneswar, the temple city of India, once known for its architecture and grand temples, is presently a thriving centre for commerce and business.",October to March,https://th.bing.com/th/id/R.30c767c1676ba158a627651236c43e20?rik=y8FHO9A2u95stw&riu=http%3a%2f%2fwww.weekendthrill.com%2fwp-content%2fuploads%2f2016%2f07%2fBhubaneswar-compressed.jpg&ehk=Vk3n%2by1jez%2fbSR4V28Id6wNLiOu9l%2fLBi%2fMxknbwdLc%3d&risl=&pid=ImgRaw&r=0,3658
Ajmer,3.5,"Surrounded by Aravali ranges, the city of Ajmer is most famous for the Ajmer Sharif Dargah of saint Muin-ud-din Chishti. Located at a distance of 130 km from Jaipur and 14 kms from Pushkar in Rajasthan, the city is firmly bound by its traditions and culture. Ajmer has a unique charm which ...",October to March,https://th.bing.com/th/id/OIP.PCqHo7zW8wPVJsCkTLe9MQHaFj?pid=ImgDet&rs=1,2979
Goa,4.5,"Lying on the western coast, Goa is India's smallest state and unlike any other, known for its endless beaches, stellar nightlife, eclectic seafood, world-heritage listed architecture. Spread across just 3,702 km, Goa lies in the Konkan region. It is a far cry from the hippie haven or ...",October to March,https://th.bing.com/th/id/OIP.Bn1mRx0jFZ0E5jXJdtRVqAHaE7?pid=ImgDet&rs=1,2798
Manali,4.5,"Nestled in between the snow-capped slopes of the Pir Panjal and the Dhauladhar ranges, Manali is one of the most popular hill stations in the country. With jaw-dropping views, lush green forests, sprawling meadows carpeted with flowers, gushing blue streams, a perpetual fairy-tale like mist lingerin...",October to June,https://blog.thomascook.in/wp-content/uploads/2014/12/Beautiful-peaks-of-Himalayas-in-Manali-Valley.jpg,2796
Andaman and Nicobar Islands,4.5,"Replete with picturesque shimmering beaches, lagoons of turquoise blue waters and a bit of history, Andaman & Nicobar Islands is a little slice of paradise tucked around 1,400 km away from the east coast of India. The union territory comprises a total of 572 islands, only 37 of which are inhabit...",October to Jun,https://th.bing.com/th/id/OIP.bHGVwH-ahhoIzEM6SsiBYgHaEK?pid=ImgDet&rs=1,2987
Coorg,4.2,"Located amidst imposing mountains in Karnataka with a perpetually misty landscape, Coorg is a popular coffee producing hill station. It is popular for its beautiful green hills and the streams cutting right through them. It also stands as a popular destination because of its culture and people....",October to March,https://th.bing.com/th/id/R.db1183d6a3e079bcd07e48667c266732?rik=dgLSOszRmQoGiQ&riu=http%3a%2f%2fd19gb5k9ejx8w0.cloudfront.net%2fuploads%2f2017%2f02%2f21143100%2fCoorg_Tadiandamol_Peak.jpg&ehk=ZIZawah740sAWGmTJXUgp7FWK%2bJhb4TV0dkw7iboPbA%3d&risl=&pid=ImgRaw&r=0,3979
Agra,4.2,"Located on the banks of River Yamuna in Uttar Pradesh, Agra is a popular tourist destination as it is home to one of the 7 wonders of the world, the Taj Mahal. It is a sneak peek into the architectural history and legacy of the Mughal empire with two other UNESCO World Heritage S...",October to March,https://th.bing.com/th/id/OIP.ugylCYZb4MYOwcx9EF6ghwHaEK?pid=ImgDet&rs=1,2879
Udaipur,4.5,"Udaipur, also known as the City of Lakes, is the crown jewel of the state of Rajasthan. It is surrounded by the beautiful Aravalli Hills in all directions, making this city as lovely as it is. This 'Venice of the East' has an abundance of natural beauty, mesmerising temples and breathtaking architec...",October to March,https://images.truehab.com/truehab-1612255755.jpeg,3868
Jaipur,4.3,"Jaipur is a vibrant amalgamation of the old and the new. Also called the Pink City, the capital of the royal state of Rajasthan, was ruled by the Rajputs for many centuries and developed as a planned city in the 17th century AD. Along with Delhi and Agra, Jaipur forms the Golden Triangle and ha...",October to March,https://th.bing.com/th/id/OIP.V7kuhcP-0GrC38TuCTPc2gHaFQ?pid=ImgDet&rs=1,3986
Leh Ladakh,4.7,"Ladakh is a union territory in the Kashmir region of India. Formerly falling in the state of Jammu & Kashmir, Ladakh was administered a union territory on 31st October 2019. Extending from the Siachen Glacier to the main Great Himalayas, Ladakh is a land like no other.",Jun to Sep,https://cdn.tourradar.com/s3/serp/original/212889_XpzWguKf.jpg,2879
Delhi,4.2,"The capital of India, Delhi is a cosmopolitan city with a historic old Delhi and the modern New Delhi. From historical monuments to crowded shopping malls, from an extensive network of the modern metro system to Delhi University campus, Dilli has multiple personalities and is considered to be the ci...",October to March,https://www.transindus.co.uk/media/1399/tailormade-and-group-tour-india-highlight-red-fort-delhi-2.jpg,2684
Varanasi,4.2,"World's oldest living city, Varanasi - also known as Kashi (City of Life) and Benaras, is the spiritual capital of India. It is one of Hinduism's seven holy cities. The old city of Varanasi lies along the western banks of the Ganges, spread across a labyrinth of narrow galis. Be&...",October to March,https://th.bing.com/th/id/OIP.8YFMcotGeXHDAfOgTRKCjQHaE7?pid=ImgDet&rs=1,2869
Jaisalmer,4.3,"Jaisalmer is a major tourist spot located in the northwestern state of Rajasthan in India. It is known as the 'golden city' due to its bounteous golden dunes and castles clad in golden honey sandstone. Jaisalmer is adorned with lakes, ornate Jain temples and havelis. Climb on to the camel ...",October to March,https://edge.ixigo.com/ixi-api/img/511a47b5e4b015f836877da8_600x315.jpg,3768
Mumbai,4.2,"Mumbai, the capital city of the Indian state of Maharashtra, is a spectacular paradox of chaos and hope, glamour and squalor, modernity and tradition. Famously known as the City of Dreams, Mumbai – formerly known as Bombay - Mumbai is a beautifully blended melting pot of cultures and lifestyles.",October to February,https://th.bing.com/th/id/R.ad846cf2595484d6a9f21e4eb83d5a74?rik=u91ryZFe%2bQlPIQ&riu=http%3a%2f%2fwww.zastavki.com%2fpictures%2foriginals%2f2014%2fWorld___India_Gate_of_India_in_Mumbai_058604_.jpg&ehk=d7tzwGFHbNyAV4hPHL7eJMP2wBZ8YGQ7xJE4aF9t6WM%3d&risl=&pid=ImgRaw&r=0,3897
Rishikesh,4.3,"Located in the foothills of the Himalayas along the convergence of Ganga and Chandrabhaga River, Rishikesh is a small town in the Dehradun district, located close to Haridwar in Uttarakhand. Rishikesh (also called as Hrishikesh) is known for its adventure activities, ancient temples, popular ca...",Throughout the year,https://th.bing.com/th/id/R.24c5ae4ea50eb5f554b9b6de5ec45c5d?rik=KkpJl0GF8lidMQ&riu=http%3a%2f%2ftakeofftoplaces.com%2fwp-content%2fuploads%2f2018%2f09%2fpost-rishikesh.jpg&ehk=pmte9dfCMf0zaC1NUZWAfuXsVlABpt7LraJ40wjbJKg%3d&risl=&pid=ImgRaw&r=0,3890
Alleppey,4.5,"Officially called Alappuzha, Alleppey is a city in the South Indian state of Kerala. Bordering the Laccadive Sea, it is known for its wide network of interlinking, palm-fringed canals called backwaters and rejuvenating Ayurvedic resorts. Allepey is also popular for its Houseboat cruises that pa...",June to March,https://lp-cms-production.imgix.net/2019-06/GettyImages-477678650_high.jpg?sharp=10&vib=20&w=1200,3879
Munnar,4.5,"Munnar is a popular hill-station of Kerala perched at an altitude of 1600 metres in the Western Ghats. Famous for its tea estates, various shades of green, blankets of mist and craggy peaks, Munnar is aptly known as the 'Kashmir of South India'.",September to May,https://4.bp.blogspot.com/-rKwlNmB5zTU/UzrsY_M1QTI/AAAAAAAAAIo/XHyjjpCa680/s1600/munnar-photo.jpg,2870
